word,phonetic_symbol
sample,sˈæmpl
abortion,
absorption,
absorption,
acceleration,
accomplishment,
accomplishment,
accomplishment,
accord,
accord,
accordance,
accountability,
accrual,
accumulation,
acre,
activist,
adaptation,
adaptation,
administrator,
adolescent,
advertiser,
advisory,
aerosol,
affiliate,
aggregate,
airfare,
alert,
algebra,
algorithm,
alien,
alien,
allocation,
alpha,
alpha,
alternate,
amendment,
amino,
amortization,
amplitude,
announcer,
annuity,
annum,
anthropology,
antibody,
antiquity,
antiquity,
appendix,
appendix,
appliance,
appraisal,
apprentice,
approximation,
arbitrage,
arbitration,
archaeology,
archive,
archive,
array,
array,
artifact,
artwork,
assertion,
asset,
asset,
associate,
asylum,
attendant,
attendee,
attorney,
auditor,
auditorium,
authorization,
auto,
automobile,
autonomy,
aversion,
aviation,
axiom,
bacteria,
bail,
banquet,
baseline,
benchmark,
beneficiary,
beta,
beta,
beverage,
bias,
bidder,
bilingual,
biodiversity,
biologist,
boardroom,
bondholder,
borrower,
boundary,
boycott,
breach,
breach,
bribe,
briefcase,
broker,
brokerage,
buffer,
buffet,
bulk,
bulk,
bully,
bundle,
bureaucrat,
burst,
businessperson,
bust,
bust,
bust,
buyout,
calcium,
calculus,
cancellation,
capillary,
capita,
capitalism,
capitalist,
capitalization,
capitalization,
cargo,
carmaker,
carpenter,
carrier,
carrier,
carrier,
cart,
cartel,
cartridge,
cashier,
casino,
casualty,
caterer,
ceasefire,
cellphone,
census,
chamber,
chamber,
characterization,
charter,
charter,
chloride,
chromosome,
circa,
circulation,
circulation,
citation,
citation,
civilian,
clarity,
clash,
clay,
cleric,
closet,
clout,
cluster,
coefficient,
collaboration,
collateral,
colony,
combat,
commentary,
commentator,
commissioner,
commodity,
communism,
communist,
commute,
commuter,
competency,
competitiveness,
compliance,
complication,
complication,
computation,
con,
con,
conditioner,
conditioner,
conduction,
configuration,
confrontation,
conglomerate,
congratulation,
congressman,
connector,
connotation,
consistency,
consolidation,
consortium,
conspiracy,
constituency,
constituency,
constituent,
constituent,
constraint,
consultancy,
consultation,
contingency,
contingent,
continuity,
contour,
contour,
contractor,
contributor,
controller,
convergence,
convertible,
convict,
conviction,
conviction,
cooperative,
coordination,
coordinator,
copier,
cord,
corpus,
corpus,
correlation,
cortex,
counsel,
counsel,
counterpart,
counterparty,
coup,
coupon,
courier,
covariance,
covenant,
coverage,
coverage,
coworker,
credential,
credibility,
creditor,
criteria,
critique,
crunch,
crunch,
crystal,
crystal,
cue,
cue,
curb,
cylinder,
dare,
debenture,
debtor,
decimal,
decree,
deductible,
default,
default,
defect,
defendant,
defensive,
deflation,
deflection,
delegation,
delegation,
deliverable,
delta,
delta,
demise,
demographic,
demonstrator,
demonstrator,
denominator,
density,
dent,
dependence,
dependency,
dependency,
deployment,
depositor,
depreciation,
deregulation,
derivative,
derivative,
descendant,
descriptor,
detection,
determinant,
determinant,
devaluation,
developer,
deviation,
diagnosis,
dialect,
dictatorship,
differentiation,
differentiation,
diffusion,
digit,
digit,
diner,
diner,
dip,
dip,
dip,
diplomacy,
diplomacy,
directive,
directory,
directory,
disclosure,
discourse,
discretion,
discretion,
dismissal,
dismissal,
dispatch,
dispatch,
displacement,
disruption,
dissection,
dissection,
dissent,
dissertation,
dissolution,
distractor,
distractor,
distress,
distress,
diversification,
diversity,
dividend,
dividend,
doctrine,
documentation,
domain,
domain,
dominance,
domination,
donor,
downgrade,
downside,
downtown,
downturn,
drawback,
duration,
e-book,
echo,
echo,
elasticity,
electorate,
elevation,
elevation,
elimination,
emission,
empowerment,
endorsement,
endorsement,
endowment,
endowment,
enforcement,
enhancement,
enlargement,
entity,
entrant,
enzyme,
epidemiology,
equilibrium,
equivalence,
escort,
estimation,
estimation,
ethanol,
ethics,
exemption,
expectancy,
expenditure,
expertise,
expiration,
expiration,
exporter,
exposure,
exposure,
exposure,
externality,
extremist,
facet,
faction,
fairness,
fatigue,
fertility,
fiduciary,
fin,
flotation,
fluctuation,
fluid,
flux,
flyer,
forecaster,
formulation,
forum,
fossil,
founder,
fraction,
fraction,
fracture,
framework,
franc,
franchise,
franchise,
freight,
friction,
friction,
fringe,
fringe,
fungus,
fusion,
gamble,
gasoline,
gauge,
gay,
generator,
genocide,
globalization,
goodness,
governance,
gradient,
graphic,
gravity,
gravity,
grid,
grid,
grocery,
grocery,
gut,
gut,
halt,
handful,
handset,
haul,
hawk,
headquarter,
healthcare,
heir,
helix,
hepatitis,
herbicide,
hierarchy,
histogram,
homeowner,
hormone,
hostility,
hub,
hurdle,
hybrid,
hydrogen,
hypothesis,
illusion,
imbalance,
impairment,
implementation,
importer,
inability,
incidence,
incline,
inclusion,
inconvenience,
incorporation,
incumbent,
indication,
indicator,
indifference,
induction,
induction,
industrialization,
inefficiency,
inequality,
inexperience,
infinity,
inflow,
info,
infrastructure,
inhibition,
initiation,
insider,
instability,
installation,
installation,
installment,
instant,
insurer,
insurgency,
insurgent,
intangible,
integration,
integrity,
integrity,
intensity,
intent,
intercept,
intercept,
interface,
interference,
interim,
intermediary,
intern,
internship,
intervention,
intrigue,
inventory,
inversion,
invoice,
ion,
irrigation,
issuance,
issuer,
itinerary,
jurisdiction,
justification,
kidney,
lag,
layout,
ledger,
legacy,
legitimacy,
lender,
lessee,
lessor,
lever,
leverage,
levy,
liability,
liability,
liberalization,
license,
likelihood,
linguistics,
liquidation,
liquidity,
litigation,
locus,
login,
logistics,
loop,
loser,
lounge,
lump,
luncheon,
lure,
lure,
machinery,
machinery,
macro,
macroeconomics,
magnitude,
magnitude,
mainland,
mainstream,
malfunction,
mandate,
mandate,
maneuver,
maneuver,
maneuver,
manipulation,
manipulation,
manuscript,
manuscript,
marker,
marker,
marketer,
marketplace,
marketplace,
marrow,
matrix,
matrix,
maturity,
maturity,
maximization,
meantime,
mechanism,
mechanism,
median,
median,
membrane,
memo,
memorandum,
mercury,
mercury,
merit,
metabolism,
methodology,
metric,
migrant,
migrant,
milestone,
milestone,
militant,
military,
militia,
ministry,
ministry,
mister,
mode,
mode,
module,
mole,
mole,
mole,
mole,
momentum,
momentum,
monopolist,
morale,
morphology,
mortality,
mortality,
mercury,
mercury,
merit,
metabolism,
methodology,
metric,
migrant,
migrant,
milestone,
milestone,
militant,
military,
militia,
ministry,
ministry,
mister,
mode,
mode,
module,
mole,
mole,
mole,
mole,
momentum,
momentum,
monopolist,
morale,
morphology,
mortality,
mortality,
motif,
multiplier,
mutation,
narrative,
narrative,
nationalism,
native,
negligence,
negotiator,
nest,
neuron,
newsletter,
newsstand,
niche,
niche,
nitrogen,
node,
norm,
notation,
novice,
occupancy,
occurrence,
odds,
odds,
offensive,
offset,
offspring,
onset,
operative,
optimization,
ordinate,
orientation,
orientation,
oscillation,
outflow,
outlay,
oval,
overhaul,
oversight,
oversight,
overview,
ownership,
pact,
pant,
par,
par,
paradigm,
parameter,
paramilitary,
parenthesis,
parity,
partition,
partition,
past,
patent,
pathway,
pathway,
payable,
payback,
payback,
paycheck,
payoff,
payoff,
payout,
payroll,
payroll,
peacekeeping,
peasant,
pensioner,
peso,
pest,
pest,
pesticide,
petition,
pharmaceutical,
phosphate,
photocopier,
pioneer,
pipeline,
placement,
plaintiff,
planner,
plantation,
pledge,
plunge,
policyholder,
policymaker,
poll,
poll,
populist,
portfolio,
portfolio,
portfolio,
portrayal,
postgraduate,
potassium,
practitioner,
precedent,
precipitation,
precision,
predator,
predecessor,
pregnancy,
premier,
premise,
premise,
premium,
premium,
prepayment,
prevalence,
preview,
prey,
primer,
privatization,
processor,
procurement,
prod,
productivity,
proficiency,
profitability,
progression,
projector,
proliferation,
prop,
prop,
proposition,
proposition,
proprietorship,
prosecution,
prosecution,
prosecutor,
prospectus,
protein,
protester,
protocol,
protocol,
proton,
prototype,
provider,
proxy,
purchaser,
quantum,
quota,
radius,
raid,
ratio,
rationale,
rationality,
reactor,
realism,
realm,
realm,
realtor,
rebate,
rebound,
rebound,
receivable,
receiver,
receiver,
receiver,
receptor,
recipient,
reconciliation,
reconstruction,
recruiter,
recruitment,
redemption,
redemption,
redesign,
redundancy,
redundancy,
referendum,
referral,
reformer,
reformist,
refreshment,
refreshment,
regression,
regulator,
rehabilitation,
rein,
rein,
reinvestment,
relevance,
reliability,
reliance,
reluctance,
removal,
renewal,
renovation,
reorganization,
repayment,
replication,
representation,
representation,
reproduction,
reproduction,
repurchase,
resale,
reservoir,
reservoir,
residue,
respondent,
restraint,
resume,
résumé,
retention,
revaluation,
reversal,
reviewer,
rhetoric,
rig,
rig,
riot,
rotation,
sack,
sack,
sacrifice,
salespeople,
salvage,
sanction,
sanction,
saver,
scenario,
scorecard,
scrap,
scripture,
scroll,
scroll,
scrutiny,
sediment,
seeker,
segmentation,
sender,
sensitivity,
sensor,
sentiment,
sentiment,
separatist,
serial,
setup,
sexuality,
shareholder,
shipment,
shortfall,
showroom,
shuttle,
simplicity,
simulation,
sin,
sender,
sensitivity,
sensor,
sentiment,
sentiment,
separatist,
serial,
setup,
sexuality,
shareholder,
shipment,
shortfall,
showroom,
shuttle,
simplicity,
simulation,
sin,
skeptic,
sketch,
slab,
slack,
slack,
slowdown,
slump,
snap,
snap,
socialist,
sodium,
solid,
solute,
sovereign,
sovereignty,
span,
specialization,
specification,
specimen,
spectrum,
spectrum,
speculation,
speculation,
speculator,
sperm,
spill,
splice,
spokesperson,
sponsorship,
spouse,
squeeze,
stakeholder,
stance,
stationery,
statistic,
statute,
stem,
stem,
sterling,
stimulus,
stockholder,
stockmarket,
submission,
submission,
subordinate,
subscriber,
subscription,
subsection,
subset,
subsidiary,
subsidy,
substitution,
substrate,
succession,
succession,
successor,
suite,
suite,
superior,
surrender,
sustainability,
swear,
syllabus,
syndicate,
synergy,
syntax,
synthesis,
tactic,
tailor,
takeover,
taker,
tangible,
tariff,
taxation,
taxpayer,
tech,
technician,
telecom,
telecommunication,
template,
tenant,
tenure,
tenure,
termination,
terminology,
textile,
theorem,
threshold,
threshold,
tier,
timber,
tolerance,
tort,
torture,
tract,
tract,
trademark,
trajectory,
tranche,
transaction,
transcription,
transcription,
transit,
transparency,
transplant,
trauma,
treasury,
tribunal,
triple,
trustee,
tumble,
tuple,
turmoil,
turnover,
turnover,
underground,
underwriter,
unity,
unknown,
uranium,
urine,
utilization,
utterance,
vacuum,
vacuum,
validity,
valuation,
valve,
variability,
variance,
variance,
variant,
vector,
vegetation,
velocity,
vendor,
verdict,
veto,
vice,
violation,
void,
volatility,
volition,
voucher,
warehouse,
warrant,
watershed,
watershed,
wavelength,
when,
where,
wholesale,
wholesaler,
wireless,
woe,
workforce,
