word,ipa,source,original_ipa
sample,ˈsæmpəl,,
abortion,ˈəˈbɔrʃən,,
absorption,"ˈəbˈzɔrpʃən, əbˈsɔrpʃən",,
absorption,"ˈəbˈzɔrpʃən, əbˈsɔrpʃən",,
acceleration,ˌækˌsɛlɜːrˈeɪʃən,,
accomplishment,ˈəˈkɑːmplɪʃmənt,,
accomplishment,ˈəˈkɑːmplɪʃmənt,,
accomplishment,ˈəˈkɑːmplɪʃmənt,,
accord,ˈəˈkɔrd,,
accord,ˈəˈkɔrd,,
accordance,ˈəˈkɔrdəns,,
accountability,ˈəˈkaʊntəˌbɪlɪti,,
accrual,ˈəˈkruːəl,,
accumulation,ˈəˌkjuːmjəˈleɪʃən,,
acre,ˈeɪkɜːr,,
activist,ˈæktɪvɪst,,
adaptation,ˌædəpˈteɪʃən,,
adaptation,ˌædəpˈteɪʃən,,
administrator,ˈədˈmɪnɪˌstreɪtɜːr,,
adolescent,"ˌædəˈlɛsənt, ˌædoʊˈlɛsənt",,
advertiser,ˈædvɜːrˌtaɪzɜːr,,
advisory,ˈædˈvaɪzɜːri,,
aerosol,ˈɛrəˌsɑːl,,
affiliate,"ˈəˈfɪliːˌeɪt, əˈfɪliːət",,
aggregate,"ˈægrəgət, ˈægrəgeɪt",,
airfare,ˈɛrˌfɛr,,
alert,ˈəˈlɜːrːt,,
algebra,ˈældʒəbrə,,
algorithm,ˈælgɜːrˌɪðəm,,
alien,ˈeɪliːən,,
alien,ˈeɪliːən,,
allocation,ˌæləˈkeɪʃən,,
alpha,ˈælfə,,
alpha,ˈælfə,,
alternate,"ˈɔltɜːrnət, ˈɔltɜːrˌneɪt",,
amendment,ˈəˈmɛndmənt,,
amino,ˈəˈmiːnoʊ,,
amortization,ˌæmɜːrtɪˈzeɪʃən,,
amplitude,ˈæmpləˌtuːd,,
announcer,ˈəˈnaʊnsɜːr,,
annuity,"ˈəˈnuːɪti, ənˈjuːɪti",,
annum,ˈænəm,,
anthropology,ˌænθrəˈpɑːlədʒi,,
antibody,"ˈæntɪˌbɑːdi, ˈæntiːˌbɑːdi",,
antiquity,ˈænˈtɪkwəti,,
antiquity,ˈænˈtɪkwəti,,
appendix,ˈəˈpɛndɪks,,
appendix,ˈəˈpɛndɪks,,
appliance,ˈəˈplaɪəns,,
appraisal,ˈəˈpreɪzəl,,
apprentice,"ˈəˈprɛntəs, əˈprɛntɪs",,
approximation,ˈəˌprɑːksəˈmeɪʃən,,
arbitrage,ˈɑːrbɪˌtrɑːʒ,,
arbitration,ˌɑːrbɪˈtreɪʃən,,
archaeology,ˌɑːrkiːˈɑːlədʒi,,
archive,ˈɑːrˌkaɪv,,
archive,ˈɑːrˌkaɪv,,
array,ˈɜːrˈeɪ,,
array,ˈɜːrˈeɪ,,
artifact,ˈɑːrtəˌfækt,,
artwork,ˈɑːrˌtwɜːrːk,,
assertion,ˈəˈsɜːrːʃən,,
asset,ˈæˌsɛt,,
asset,ˈæˌsɛt,,
associate,"ˈəˈsoʊsiːət, əˈsoʊsiːˌeɪt, əˈsoʊʃiːət, əˈsoʊʃiːˌeɪt",,
asylum,ˈəˈsaɪləm,,
attendant,ˈəˈtɛndənt,,
attendee,ˈəˈtɛnˈdiː,,
attorney,ˈəˈtɜːrːni,,
auditor,ˈɔdɪtɜːr,,
auditorium,ˌɔdəˈtɔriːəm,,
authorization,ˌɔθɜːrəˈzeɪʃən,,
auto,ˈɔtoʊ,,
automobile,"ˈɔtəmoʊˌbiːl, ˌɔtəmoʊˈbiːl",,
autonomy,"ˈɔˈtɑːnəmi, əˈtɑːnəmi",,
aversion,ˈəˈvɜːrːʒən,,
aviation,ˌeɪviːˈeɪʃən,,
axiom,ˈæksiːəm,,
bacteria,bˈækˈtɪriːə,,
bail,ˈbeɪl,,
banquet,ˈbæŋkwət,,
baseline,ˈbeɪˌslaɪn,,
benchmark,ˈbɛntʃˌmɑːrk,,
beneficiary,ˌbɛnəˈfɪʃiːˌɛri,,
beta,ˈbeɪtə,,
beta,ˈbeɪtə,,
beverage,"ˈbɛvɜːrɪdʒ, ˈbɛvrɪdʒ",,
bias,ˈbaɪəs,,
bidder,ˈbɪdɜːr,,
bilingual,bˈaɪˈlɪŋgwəl,,
biodiversity,ˌbaɪoʊdaɪˈvɜːrːsəti,,
biologist,bˈaɪˈɑːlədʒɪst,,
boardroom,ˈbɔrˌdruːm,,
bondholder,ˈbɑːndˌhoʊldɜːr,,
borrower,ˈbɑːroʊɜːr,,
boundary,"ˈbaʊndɜːri, ˈbaʊndri",,
boycott,ˈbɔɪˌkɑːt,,
breach,ˈbriːtʃ,,
breach,ˈbriːtʃ,,
bribe,ˈbraɪb,,
briefcase,ˈbriːfˌkeɪs,,
broker,ˈbroʊkɜːr,,
brokerage,"ˈbroʊkɜːrɪdʒ, ˈbroʊkrɪdʒ",,
buffer,ˈbʌfɜːr,,
buffet,"ˈbʌfət, bəˈfeɪ",,
bulk,ˈbʌlk,,
bulk,ˈbʌlk,,
bully,ˈbʊli,,
bundle,ˈbʌndəl,,
bureaucrat,"ˈbjʊrəˌkræt, ˈbjʊroʊˌkræt",,
burst,ˈbɜːrːst,,
businessperson,ˈbɪznəˈspɜːrːsən,,
bust,ˈbʌst,,
bust,ˈbʌst,,
bust,ˈbʌst,,
buyout,ˈbaɪˌaʊt,,
calcium,ˈkælsiːəm,,
calculus,ˈkælkjələs,,
cancellation,ˌkænsəˈleɪʃən,,
capillary,ˈkæpəˌlɛri,,
capita,ˈkæpɪtə,,
capitalism,ˈkæpɪtəˌlɪzəm,,
capitalist,ˈkæpətəlɪst,,
capitalization,ˌkæpɪtəlɪˈzeɪʃən,,
capitalization,ˌkæpɪtəlɪˈzeɪʃən,,
cargo,ˈkɑːrˌgoʊ,,
carmaker,ˈkɑːrˌmeɪkɜːr,,
carpenter,ˈkɑːrpəntɜːr,,
carrier,"ˈkæriːɜːr, ˈkɛriːɜːr",,
carrier,"ˈkæriːɜːr, ˈkɛriːɜːr",,
carrier,"ˈkæriːɜːr, ˈkɛriːɜːr",,
cart,ˈkɑːrt,,
cartel,kˈɑːrˈtɛl,,
cartridge,"ˈkɑːrtrədʒ, ˈkɑːrtrɪdʒ",,
cashier,kˈæˈʃɪr,,
casino,kˈəˈsiːnoʊ,,
casualty,"ˈkæʒəwəlti, ˈkæʒəlti",,
caterer,ˈkeɪtɜːrɜːr,,
ceasefire,ˈsiːsˈfaɪɜːr,,
cellphone,ˈsɛlfoʊn,,
census,ˈsɛnsəs,,
chamber,ˈtʃeɪmbɜːr,,
chamber,ˈtʃeɪmbɜːr,,
characterization,ˌkɛrɪktɜːrɪˈzeɪʃən,,
charter,ˈtʃɑːrtɜːr,,
charter,ˈtʃɑːrtɜːr,,
chloride,ˈklɔraɪd,,
chromosome,"ˈkroʊməˌsoʊm, ˈkroʊməˌzoʊm",,
circa,ˈsɜːrːkə,,
circulation,ˈsɜːrːkjəˌleɪʃən,,
circulation,ˈsɜːrːkjəˌleɪʃən,,
citation,sˈaɪˈteɪʃən,,
citation,sˈaɪˈteɪʃən,,
civilian,sˈəˈvɪljən,,
clarity,"ˈklɛrəti, ˈklɛrɪti",,
clash,ˈklæʃ,,
clay,ˈkleɪ,,
cleric,ˈklɛrɪk,,
closet,ˈklɑːzət,,
clout,ˈklaʊt,,
cluster,ˈklʌstɜːr,,
coefficient,ˌkoʊəˈfɪʃənt,,
collaboration,kˈəˌlæbɜːrˈeɪʃən,,
collateral,kˈəˈlætɜːrəl,,
colony,ˈkɑːləni,,
combat,"ˈkɑːmbæt, kəmˈbæt",,
commentary,ˈkɑːmənˌtɛri,,
commentator,ˈkɑːmənˌteɪtɜːr,,
commissioner,kˈəˈmɪʃənɜːr,,
commodity,kˈəˈmɑːdəti,,
communism,ˈkɑːmjəˌnɪzəm,,
communist,ˈkɑːmjənəst,,
commute,kˈəˈmjuːt,,
commuter,kˈəˈmjuːtɜːr,,
competency,ˈkɑːmpətɪnsi,,
competitiveness,kˈəmˈpɛtɪtɪvnɪs,,
compliance,kˈəmˈplaɪəns,,
complication,ˌkɑːmpləˈkeɪʃən,,
complication,ˌkɑːmpləˈkeɪʃən,,
computation,ˌkɑːmpjəˈteɪʃən,,
