word,ipa,source,original_ipa
sample,ˈsæmpəl,,
abortion,ˈəˈbɔrʃən,,
absorption,"ˈəbzɔrpʃən, əbsɔrpʃən",,
absorption,"ˈəbzɔrpʃən, əbsɔrpʃən",,
acceleration,ˌæksɛlɜːrˈeɪʃən,,
accomplishment,ˈəˈkɑːmplɪʃmənt,,
accomplishment,ˈəˈkɑːmplɪʃmənt,,
accomplishment,ˈəˈkɑːmplɪʃmənt,,
accord,ˈəˈkɔrd,,
accord,ˈəˈkɔrd,,
accordance,ˈəˈkɔrdəns,,
accountability,ˈəˈkaʊntəˌbɪlɪti,,
accrual,ˈəˈkruːəl,,
accumulation,ˈəˌkjuːmjəˈleɪʃən,,
acre,ˈeɪkɜːr,,
activist,ˈæktɪvɪst,,
adaptation,ˌædəpteɪʃən,,
adaptation,ˌædəpteɪʃən,,
administrator,ˈədmɪnɪˌstreɪtɜːr,,
adolescent,"ˌædəˈlɛsənt, ˌædoʊˈlɛsənt",,
advertiser,ˈædvɜːrtaɪzɜːr,,
advisory,ˈædvaɪzɜːri,,
aerosol,ˈɛrəˌsɑːl,,
affiliate,"ˈəˈfɪliːˌeɪt, əˈfɪliːət",,
aggregate,"ˈægrəgət, ˈægrəgeɪt",,
airfare,ˈɛrfɛr,,
alert,ˈəˈlɜːrːt,,
algebra,ˈældʒəbrə,,
algorithm,ˈælgɜːrˌɪðəm,,
alien,ˈeɪliːən,,
alien,ˈeɪliːən,,
allocation,ˌæləˈkeɪʃən,,
alpha,ˈælfə,,
alpha,ˈælfə,,
alternate,"ˈɔltɜːrnət, ˈɔltɜːrneɪt",,
amendment,ˈəˈmɛndmənt,,
amino,ˈəˈmiːnoʊ,,
amortization,ˌæmɜːrtɪˈzeɪʃən,,
amplitude,ˈæmpləˌtuːd,,
announcer,ˈəˈnaʊnsɜːr,,
annuity,"ˈəˈnuːɪti, ənjuːɪti",,
annum,ˈænəm,,
anthropology,ˌænθrəˈpɑːlədʒi,,
antibody,"ˈæntɪˌbɑːdi, ˈæntiːˌbɑːdi",,
antiquity,ˈæntɪkwəti,,
antiquity,ˈæntɪkwəti,,
appendix,ˈəˈpɛndɪks,,
appendix,ˈəˈpɛndɪks,,
appliance,ˈəˈplaɪəns,,
appraisal,ˈəˈpreɪzəl,,
apprentice,"ˈəˈprɛntəs, əˈprɛntɪs",,
approximation,ˈəˌprɑːksəˈmeɪʃən,,
arbitrage,ˈɑːrbɪˌtrɑːʒ,,
arbitration,ˌɑːrbɪˈtreɪʃən,,
archaeology,ˌɑːrkiːˈɑːlədʒi,,
archive,ˈɑːrkaɪv,,
archive,ˈɑːrkaɪv,,
array,ˈɜːrˈeɪ,,
array,ˈɜːrˈeɪ,,
artifact,ˈɑːrtəˌfækt,,
artwork,ˈɑːrtwɜːrːk,,
assertion,ˈəˈsɜːrːʃən,,
asset,ˈæˌsɛt,,
asset,ˈæˌsɛt,,
associate,"ˈəˈsoʊsiːət, əˈsoʊsiːˌeɪt, əˈsoʊʃiːət, əˈsoʊʃiːˌeɪt",,
asylum,ˈəˈsaɪləm,,
attendant,ˈəˈtɛndənt,,
attendee,ˈəˈtɛndiː,,
attorney,ˈəˈtɜːrːni,,
auditor,ˈɔdɪtɜːr,,
auditorium,ˌɔdəˈtɔriːəm,,
authorization,ˌɔθɜːrəˈzeɪʃən,,
auto,ˈɔtoʊ,,
automobile,"ˈɔtəmoʊˌbiːl, ˌɔtəmoʊˈbiːl",,
autonomy,"ˈɔˈtɑːnəmi, əˈtɑːnəmi",,
aversion,ˈəˈvɜːrːʒən,,
aviation,ˌeɪviːˈeɪʃən,,
axiom,ˈæksiːəm,,
bacteria,bˈˈæktɪriːə,,
bail,ˈbeɪl,,
banquet,ˈbæŋkwət,,
baseline,ˈbeɪˌslaɪn,,
benchmark,ˈbɛntʃmɑːrk,,
beneficiary,ˌbɛnəˈfɪʃiːˌɛri,,
beta,ˈbeɪtə,,
beta,ˈbeɪtə,,
beverage,"ˈbɛvɜːrɪdʒ, ˈbɛvrɪdʒ",,
bias,ˈbaɪəs,,
bidder,ˈbɪdɜːr,,
bilingual,bˈˈaɪˈlɪŋgwəl,,
biodiversity,ˌbaɪoʊdaɪˈvɜːrːsəti,,
biologist,bˈˈaɪˈɑːlədʒɪst,,
boardroom,ˈbɔrdruːm,,
bondholder,ˈbɑːndˌhoʊldɜːr,,
borrower,ˈbɑːroʊɜːr,,
boundary,"ˈbaʊndɜːri, ˈbaʊndri",,
boycott,ˈbɔɪˌkɑːt,,
breach,ˈbriːtʃ,,
breach,ˈbriːtʃ,,
bribe,ˈbraɪb,,
briefcase,ˈbriːfkeɪs,,
broker,ˈbroʊkɜːr,,
brokerage,"ˈbroʊkɜːrɪdʒ, ˈbroʊkrɪdʒ",,
buffer,ˈbʌfɜːr,,
buffet,"ˈbʌfət, bəˈfeɪ",,
bulk,ˈbʌlk,,
bulk,ˈbʌlk,,
bully,ˈbʊli,,
bundle,ˈbʌndəl,,
bureaucrat,"ˈbjʊrəˌkræt, ˈbjʊroʊˌkræt",,
burst,ˈbɜːrːst,,
businessperson,ˈbɪznəˈspɜːrːsən,,
bust,ˈbʌst,,
bust,ˈbʌst,,
bust,ˈbʌst,,
buyout,ˈbaɪˌaʊt,,
calcium,ˈkælsiːəm,,
calculus,ˈkælkjələs,,
cancellation,ˌkænsəˈleɪʃən,,
capillary,ˈkæpəˌlɛri,,
capita,ˈkæpɪtə,,
capitalism,ˈkæpɪtəˌlɪzəm,,
capitalist,ˈkæpətəlɪst,,
capitalization,ˌkæpɪtəlɪˈzeɪʃən,,
capitalization,ˌkæpɪtəlɪˈzeɪʃən,,
cargo,ˈkɑːrgoʊ,,
carmaker,ˈkɑːrmeɪkɜːr,,
carpenter,ˈkɑːrpəntɜːr,,
carrier,"ˈkæriːɜːr, ˈkɛriːɜːr",,
carrier,"ˈkæriːɜːr, ˈkɛriːɜːr",,
carrier,"ˈkæriːɜːr, ˈkɛriːɜːr",,
cart,ˈkɑːrt,,
cartel,kˈˈɑːrtɛl,,
cartridge,"ˈkɑːrtrədʒ, ˈkɑːrtrɪdʒ",,
cashier,kˈˈæˈʃɪr,,
casino,kˈˈəˈsiːnoʊ,,
casualty,"ˈkæʒəwəlti, ˈkæʒəlti",,
caterer,ˈkeɪtɜːrɜːr,,
ceasefire,ˈsiːsfaɪɜːr,,
cellphone,ˈsɛlfoʊn,,
census,ˈsɛnsəs,,
chamber,ˈtʃeɪmbɜːr,,
chamber,ˈtʃeɪmbɜːr,,
characterization,ˌkɛrɪktɜːrɪˈzeɪʃən,,
charter,ˈtʃɑːrtɜːr,,
charter,ˈtʃɑːrtɜːr,,
chloride,ˈklɔraɪd,,
chromosome,"ˈkroʊməˌsoʊm, ˈkroʊməˌzoʊm",,
circa,ˈsɜːrːkə,,
circulation,ˈsɜːrːkjəˌleɪʃən,,
circulation,ˈsɜːrːkjəˌleɪʃən,,
citation,sˈˈaɪˈteɪʃən,,
citation,sˈˈaɪˈteɪʃən,,
civilian,sˈˈəˈvɪljən,,
clarity,"ˈklɛrəti, ˈklɛrɪti",,
clash,ˈklæʃ,,
clay,ˈkleɪ,,
cleric,ˈklɛrɪk,,
closet,ˈklɑːzət,,
clout,ˈklaʊt,,
cluster,ˈklʌstɜːr,,
coefficient,ˌkoʊəˈfɪʃənt,,
collaboration,kˈˈəˌlæbɜːrˈeɪʃən,,
collateral,kˈˈəˈlætɜːrəl,,
colony,ˈkɑːləni,,
combat,"ˈkɑːmbæt, kəmbæt",,
commentary,ˈkɑːməntɛri,,
commentator,ˈkɑːmənteɪtɜːr,,
commissioner,kˈˈəˈmɪʃənɜːr,,
commodity,kˈˈəˈmɑːdəti,,
communism,ˈkɑːmjəˌnɪzəm,,
communist,ˈkɑːmjənəst,,
commute,kˈˈəˈmjuːt,,
commuter,kˈˈəˈmjuːtɜːr,,
competency,ˈkɑːmpətɪnsi,,
competitiveness,kˈˈəmpɛtɪtɪvnɪs,,
compliance,kˈˈəmplaɪəns,,
complication,ˌkɑːmpləˈkeɪʃən,,
complication,ˌkɑːmpləˈkeɪʃən,,
computation,ˌkɑːmpjəˈteɪʃən,,
con,ˈkɑːn,,
con,ˈkɑːn,,
