word,ipa,source,original_ipa
sample,sˈæmpəl,,
abortion,ˈəbɔrʃən,,
absorption,"ˈəbzɔrpʃən, əbsɔrpʃən",,
absorption,"ˈəbzɔrpʃən, əbsɔrpʃən",,
acceleration,ˈæksɛlɜːreɪʃən,,
accomplishment,ˈəkɑːmplɪʃmənt,,
accomplishment,ˈəkɑːmplɪʃmənt,,
accomplishment,ˈəkɑːmplɪʃmənt,,
accord,ˈəkɔrd,,
accord,ˈəkɔrd,,
accordance,ˈəkɔrdəns,,
accountability,ˈəkaʊntəbɪlɪti,,
accrual,ˈəkruːəl,,
accumulation,ˈəkjuːmjəleɪʃən,,
acre,ˈeɪkɜːr,,
activist,ˈæktɪvɪst,,
adaptation,ˈædəpteɪʃən,,
adaptation,ˈædəpteɪʃən,,
administrator,ˈədmɪnɪstreɪtɜːr,,
adolescent,"ˈædəlɛsənt, ædoʊlɛsənt",,
advertiser,ˈædvɜːrtaɪzɜːr,,
advisory,ˈædvaɪzɜːri,,
aerosol,ˈɛrəsɑːl,,
affiliate,"ˈəfɪliːeɪt, əfɪliːət",,
aggregate,"ˈægrəgət, ægrəgeɪt",,
airfare,ˈɛrfɛr,,
alert,ˈəlɜːrːt,,
algebra,ˈældʒəbrə,,
algorithm,ˈælgɜːrɪðəm,,
alien,ˈeɪliːən,,
alien,ˈeɪliːən,,
allocation,ˈæləkeɪʃən,,
alpha,ˈælfə,,
alpha,ˈælfə,,
alternate,"ˈɔltɜːrnət, ɔltɜːrneɪt",,
amendment,ˈəmɛndmənt,,
amino,ˈəmiːnoʊ,,
amortization,ˈæmɜːrtɪzeɪʃən,,
amplitude,ˈæmplətuːd,,
announcer,ˈənaʊnsɜːr,,
annuity,"ˈənuːɪti, ənjuːɪti",,
annum,ˈænəm,,
anthropology,ˈænθrəpɑːlədʒi,,
antibody,"ˈæntɪbɑːdi, æntiːbɑːdi",,
antiquity,ˈæntɪkwəti,,
antiquity,ˈæntɪkwəti,,
appendix,ˈəpɛndɪks,,
appendix,ˈəpɛndɪks,,
appliance,ˈəplaɪəns,,
appraisal,ˈəpreɪzəl,,
apprentice,"ˈəprɛntəs, əprɛntɪs",,
approximation,ˈəprɑːksəmeɪʃən,,
arbitrage,ˈɑːrbɪtrɑːʒ,,
arbitration,ˈɑːrbɪtreɪʃən,,
archaeology,ˈɑːrkiːɑːlədʒi,,
archive,ˈɑːrkaɪv,,
archive,ˈɑːrkaɪv,,
array,ˈɜːreɪ,,
array,ˈɜːreɪ,,
artifact,ˈɑːrtəfækt,,
artwork,ˈɑːrtwɜːrːk,,
assertion,ˈəsɜːrːʃən,,
asset,ˈæsɛt,,
asset,ˈæsɛt,,
associate,"ˈəsoʊsiːət, əsoʊsiːeɪt, əsoʊʃiːət, əsoʊʃiːeɪt",,
asylum,ˈəsaɪləm,,
attendant,ˈətɛndənt,,
attendee,ˈətɛndiː,,
attorney,ˈətɜːrːni,,
auditor,ˈɔdɪtɜːr,,
auditorium,ˈɔdətɔriːəm,,
authorization,ˈɔθɜːrəzeɪʃən,,
auto,ˈɔtoʊ,,
automobile,"ˈɔtəmoʊbiːl, ɔtəmoʊbiːl",,
autonomy,"ˈɔtɑːnəmi, ətɑːnəmi",,
aversion,ˈəvɜːrːʒən,,
aviation,ˈeɪviːeɪʃən,,
axiom,ˈæksiːəm,,
bacteria,bˈæktɪriːə,,
bail,bˈeɪl,,
banquet,bˈæŋkwət,,
baseline,bˈeɪslaɪn,,
benchmark,bˈɛntʃmɑːrk,,
beneficiary,bˈɛnəfɪʃiːɛri,,
beta,bˈeɪtə,,
beta,bˈeɪtə,,
beverage,"bˈɛvɜːrɪdʒ, bɛvrɪdʒ",,
bias,bˈaɪəs,,
bidder,bˈɪdɜːr,,
bilingual,bˈaɪlɪŋgwəl,,
biodiversity,bˈaɪoʊdaɪvɜːrːsəti,,
biologist,bˈaɪɑːlədʒɪst,,
boardroom,bˈɔrdruːm,,
bondholder,bˈɑːndhoʊldɜːr,,
borrower,bˈɑːroʊɜːr,,
boundary,"bˈaʊndɜːri, baʊndri",,
boycott,bˈɔɪkɑːt,,
breach,brˈiːtʃ,,
breach,brˈiːtʃ,,
bribe,brˈaɪb,,
briefcase,brˈiːfkeɪs,,
broker,brˈoʊkɜːr,,
