word,original_ipa,normalized_ipa,changes_count,changes_detail
!EXCLAMATION-POINT,ˌɛkskləˈmeɪʃənˌpɔɪnt,ˌɛkskləˈmeɪʃənˌpɔɪnt,0,
"""CLOSE-QUOTE",ˈkloʊzˈkwoʊt,ˈkloʊz ˈkwoʊt,1,ルール5: (ˈ[^ˈˌ\s]+)(ˈ)(?=[^\s]) -> \1 \2
"""DOUBLE-QUOTE",ˈdʌbəlˈkwoʊt,ˈdʌbəl ˈkwoʊt,1,ルール5: (ˈ[^ˈˌ\s]+)(ˈ)(?=[^\s]) -> \1 \2
"""END-OF-QUOTE",ˈɛndəvˈkwoʊt,ˈɛndəv ˈkwoʊt,1,ルール5: (ˈ[^ˈˌ\s]+)(ˈ)(?=[^\s]) -> \1 \2
"""END-QUOTE",ˈɛndˈkwoʊt,ˈɛnd ˈkwoʊt,1,ルール5: (ˈ[^ˈˌ\s]+)(ˈ)(?=[^\s]) -> \1 \2
"""IN-QUOTES",ˈɪnˈkwoʊts,ˈɪn ˈkwoʊts,1,ルール5: (ˈ[^ˈˌ\s]+)(ˈ)(?=[^\s]) -> \1 \2
"""QUOTE",ˈkwoʊt,ˈkwoʊt,0,
"""UNQUOTE",ˈʌnˈkwoʊt,ˈʌn ˈkwoʊt,1,ルール5: (ˈ[^ˈˌ\s]+)(ˈ)(?=[^\s]) -> \1 \2
#HASH-MARK,ˈhæˌmɑːrk,ˈhæˌmɑːrk,0,
#POUND-SIGN,ˈpaʊndˌsaɪn,ˈpaʊndˌsaɪn,0,
#SHARP-SIGN,ˈʃɑːrpˌsaɪn,ˈʃɑːrpˌsaɪn,0,
%PERCENT,pɝˈsɛnt,pɝˈsɛnt,0,
&AMPERSAND,ˈæmpɝˌsænd,ˈæmpɝˌsænd,0,
'ALLO,ˌɑːˈloʊ,ˌɑːˈloʊ,0,
'APOSTROPHE,əˈpɑːstrəfi,əˈpɑːstrəfi,0,
'BOUT,ˈbaʊt,ˈbaʊt,0,
'CAUSE,kəz,kəz,0,
'COURSE,ˈkɔrs,ˈkɔrs,0,
'CUSE,ˈkjuːz,ˈkjuːz,0,
'EM,əm,əm,0,
'END-INNER-QUOTE,ˈɛnˈdɪnɝˈkwoʊt,ˈɛn ˈdɪnɝˈkwoʊt,1,ルール5: (ˈ[^ˈˌ\s]+)(ˈ)(?=[^\s]) -> \1 \2
'END-QUOTE,ˈɛndˈkwoʊt,ˈɛnd ˈkwoʊt,1,ルール5: (ˈ[^ˈˌ\s]+)(ˈ)(?=[^\s]) -> \1 \2
'FRISCO,ˈfrɪskoʊ,ˈfrɪskoʊ,0,
'GAIN,ˈgɛn,ˈgɛn,0,
'INNER-QUOTE,ˈɪnɝˈkwoʊt,ˈɪnɝ ˈkwoʊt,1,ルール5: (ˈ[^ˈˌ\s]+)(ˈ)(?=[^\s]) -> \1 \2
'KAY,ˈkeɪ,ˈkeɪ,0,
'M,əm,əm,0,
'N,ən,ən,0,
'QUOTE,ˈkwoʊt,ˈkwoʊt,0,
'ROUND,ˈraʊnd,ˈraʊnd,0,
'S,ˈɛs,ˈɛs,0,
'SINGLE-QUOTE,ˈsɪŋgəlˈkwoʊt,ˈsɪŋgəl ˈkwoʊt,1,ルール5: (ˈ[^ˈˌ\s]+)(ˈ)(?=[^\s]) -> \1 \2
'TIL,ˈtɪl,ˈtɪl,0,
'TIS,ˈtɪz,ˈtɪz,0,
'TWAS,ˈtwʌz,ˈtwʌz,0,
(BEGIN-PARENS,bɪˈgɪnpɝˈɛnz,bɪˈgɪnpɝ ˈɛnz,1,ルール5: (ˈ[^ˈˌ\s]+)(ˈ)(?=[^\s]) -> \1 \2
(IN-PARENTHESES,ˈɪnpɝˈɛnθəˌsiːz,ˈɪnpɝ ˈɛnθəˌsiːz,1,ルール5: (ˈ[^ˈˌ\s]+)(ˈ)(?=[^\s]) -> \1 \2
(LEFT-PAREN,ˈlɛftpɝˈɛn,ˈlɛftpɝ ˈɛn,1,ルール5: (ˈ[^ˈˌ\s]+)(ˈ)(?=[^\s]) -> \1 \2
(OPEN-PARENTHESES,ˈoʊpənpɝˈɛnθəˌsiːz,ˈoʊpənpɝ ˈɛnθəˌsiːz,1,ルール5: (ˈ[^ˈˌ\s]+)(ˈ)(?=[^\s]) -> \1 \2
(PAREN,pɝˈɛn,pɝˈɛn,0,
(PARENS,pɝˈɛnz,pɝˈɛnz,0,
(PARENTHESES,pɝˈɛnθəˌsiːz,pɝˈɛnθəˌsiːz,0,
)CLOSE-PAREN,ˈkloʊzpɝˈɛn,ˈkloʊzpɝ ˈɛn,1,ルール5: (ˈ[^ˈˌ\s]+)(ˈ)(?=[^\s]) -> \1 \2
)CLOSE-PARENTHESES,ˈkloʊzpɝˈɛnθəˌsiːz,ˈkloʊzpɝ ˈɛnθəˌsiːz,1,ルール5: (ˈ[^ˈˌ\s]+)(ˈ)(?=[^\s]) -> \1 \2
)END-PAREN,ˈɛndpɝˈɛn,ˈɛndpɝ ˈɛn,1,ルール5: (ˈ[^ˈˌ\s]+)(ˈ)(?=[^\s]) -> \1 \2
)END-PARENS,ˈɛndpɝˈɛnz,ˈɛndpɝ ˈɛnz,1,ルール5: (ˈ[^ˈˌ\s]+)(ˈ)(?=[^\s]) -> \1 \2
)END-PARENTHESES,ˈɛndpɝˈɛnθəˌsiːz,ˈɛndpɝ ˈɛnθəˌsiːz,1,ルール5: (ˈ[^ˈˌ\s]+)(ˈ)(?=[^\s]) -> \1 \2
)END-THE-PAREN,ˈɛndðəpɝˈɛn,ˈɛndðəpɝ ˈɛn,1,ルール5: (ˈ[^ˈˌ\s]+)(ˈ)(?=[^\s]) -> \1 \2
)PAREN,pɝˈɛn,pɝˈɛn,0,
)PARENS,pɝˈɛnz,pɝˈɛnz,0,
)RIGHT-PAREN,ˈraɪtˌpɛrən,ˈraɪtˌpɛrən,0,
)UN-PARENTHESES,ˈʌnpɝˈɛnθəˈsiːz,ˈʌnpɝ ˈɛnθəˈsiːz,1,ルール5: (ˈ[^ˈˌ\s]+)(ˈ)(?=[^\s]) -> \1 \2
+PLUS,ˈplʊs,ˈplʊs,0,
",COMMA",ˈkɑːmə,ˈkɑːmə,0,
--DASH,ˈdæʃ,ˈdæʃ,0,
-DASH,ˈdæʃ,ˈdæʃ,0,
-HYPHEN,ˈhaɪfən,ˈhaɪfən,0,
...ELLIPSIS,ˌɪˈlɪpsɪs,ˌɪˈlɪpsɪs,0,
.DECIMAL,ˈdɛsəməl,ˈdɛsəməl,0,
